age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
27, 2, 3, 2, 2, 2, 3, 1, 1, 1, 1
27, 2, 4, 3, 4, 4, 3, 3, 4, 3, 4
25, 2, 2, 1, 1, 3, 1, 1, 4, 4, 1
26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
29, 2, 2, 4, 3, 3, 3, 3, 4, 3, 4
30, 2, 2, 2, 2, 2, 4, 3, 5, 3, 3
30, 1, 3, 3, 3, 2, 1, 1, 1, 2, 1
30, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
25, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
26, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
28, 2, 1, 2, 3, 3, 3, 3, 4, 1, 1
25, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
23, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1
30, 4, 4, 2, 2, 2, 2, 2, 1, 2, 1
29, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3
21, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1
25, 2, 2, 2, 3, 3, 3, 2, 1, 2, 1
32, 2, 4, 4, 4, 3, 2, 4, 3, 1, 2
21, 2, 2, 2, 3, 2, 3, 3, 3, 2, 1
23, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1
30, 2, 4, 1, 2, 5, 1, 1, 3, 1, 1
22, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3
24, 1, 1, 2, 1, 2, 1, 2, 3, 1, 1
26, 3, 2, 2, 2, 3, 3, 2, 3, 2, 2
26, 2, 3, 3, 3, 3, 2, 2, 1, 1, 1
31, 4, 4, 4, 1, 2, 3, 1, 4, 1, 1
